Geographic Level,Industry,Location,qid,label,DensityLog,FundingMedian,SuccessRate,RecentGrowth,N,Success_n,Growth_n
City,3D Printing,Zürich,0,0.8166666666666665,1.3219280948873626,1.5,0.0,0.0,1.5,1.5,0.0
City,3D Printing,Boston,0,0.76062676233744,0.5849625007211564,12.0,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Philadelphia,0,0.76062676233744,0.5849625007211564,2.5,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Somerville,0,0.76062676233744,0.5849625007211564,2.5,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Burlington,0,0.7557843660081741,1.0,1.5,0.0,0.0,1.0,1.0,0.0
City,3D Printing,Seattle,0,0.7557843660081741,1.0,1.5,0.0,0.0,1.0,1.0,0.0
City,3D Printing,Tel Aviv,0,0.7557843660081741,1.0,1.5,0.0,0.0,1.0,1.0,0.0
City,3D Printing,Ness Ziona,0,0.7189600956707733,0.5849625007211564,2.0,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Chicago,0,0.7141176993415075,1.0,1.0,0.0,0.0,1.0,1.0,0.0
City,3D Printing,Mumbai,0,0.7141176993415075,1.0,1.0,0.0,0.0,1.0,1.0,0.0
City,3D Printing,Budapest,0,0.7125,1.3219280948873626,0.25,0.0,0.0,1.5,1.5,0.0
City,3D Printing,New York,0,0.7125,2.169925001442313,0.25,0.0,0.0,3.5,3.5,0.0
City,3D Printing,San Francisco,0,0.7125,2.169925001442313,0.25,0.0,0.0,3.5,3.5,0.0
City,3D Printing,Singapore,0,0.7125,1.8073549220576035,0.25,0.0,0.0,2.5,2.5,0.0
City,3D Printing,Amsterdam,0,0.6916666666666667,2.0000000000000004,0.0,0.0,0.0,3.0,3.0,0.0
City,3D Printing,Eindhoven,0,0.6916666666666667,1.584962500721156,0.0,0.0,0.0,2.0,2.0,0.0
City,3D Printing,Munich,0,0.6916666666666667,1.3219280948873626,0.0,0.0,0.0,1.5,1.5,0.0
City,3D Printing,Paris,0,0.6916666666666667,1.584962500721156,0.0,0.0,0.0,2.0,2.0,0.0
City,3D Printing,San Diego,0,0.6916666666666667,1.584962500721156,0.0,0.0,0.0,2.0,2.0,0.0
City,3D Printing,Oakland,0,0.6772934290041067,0.5849625007211564,1.5,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Nanjing,0,0.6724510326748409,1.0,0.5,0.0,0.0,1.0,1.0,0.0
City,3D Printing,Sofia,0,0.6724510326748409,1.0,0.5,0.0,0.0,1.0,1.0,0.0
City,3D Printing,London,0,0.6583333333333333,3.247927513443585,0.0,-0.11111111111111116,0.0,8.5,8.5,0.0
City,3D Printing,Lausanne,0,0.6564600956707733,0.5849625007211564,1.25,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Berlin,0,0.6557843660081741,1.0,1.5,-0.33333333333333337,0.0,1.0,1.0,0.0
City,3D Printing,Barcelona,0,0.65,0.0,3.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Bristol,0,0.65,0.0,5.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Gaithersburg,0,0.65,0.0,3.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Gardena,0,0.65,0.0,2.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Greenville,0,0.65,0.0,5.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Guwahati,0,0.65,0.0,2.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Manchester,0,0.65,0.0,2.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Manno,0,0.65,0.0,4.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Milpitas,0,0.65,0.0,2.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Redwood City,0,0.65,0.0,3.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Renens,0,0.65,0.0,3.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Shenzhen,0,0.65,1.584962500721156,-0.5,0.0,0.0,2.0,2.0,0.0
City,3D Printing,Villaz-Saint-Pierre,0,0.65,0.0,3.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Waterloo,0,0.65,0.0,2.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Watertown,0,0.65,0.0,2.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Toronto,0,0.6488095238095238,2.0000000000000004,0.0,-0.1428571428571429,0.0,3.0,3.0,0.0
City,3D Printing,Austin,0,0.63562676233744,0.5849625007211564,1.0,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Berkeley,0,0.63562676233744,0.5849625007211564,1.0,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Warszawa,0,0.63562676233744,0.5849625007211564,1.0,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Hangzhou,0,0.6316666666666667,1.584962500721156,0.0,-0.19999999999999996,0.0,2.0,2.0,0.0
City,3D Printing,Shanghai,0,0.6316666666666667,1.584962500721156,0.0,-0.19999999999999996,0.0,2.0,2.0,0.0
City,3D Printing,Seoul,0,0.6307843660081741,1.0,0.0,0.0,0.0,1.0,1.0,0.0
City,3D Printing,Helsinki,0,0.6147934290041067,0.5849625007211564,0.75,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Montréal,0,0.6147934290041067,0.5849625007211564,0.75,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Brooklyn,0,0.6124999999999999,1.8073549220576035,0.25,-0.33333333333333337,0.0,2.5,2.5,0.0
City,3D Printing,Centennial,0,0.6083333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Chandler,0,0.6083333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Daxing,0,0.6083333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Edinburgh,0,0.6083333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Golden Valley,0,0.6083333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Hawthorne,0,0.6083333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,La Jolla,0,0.6083333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Newcastle Upon Tyne,0,0.6083333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Stockholm,0,0.6083333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Vancouver,0,0.6083333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Halifax,0,0.5939600956707733,0.5849625007211564,0.5,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Guangzhou,0,0.5891176993415075,1.0,-0.5,0.0,0.0,1.0,1.0,0.0
City,3D Printing,Tallinn,0,0.5891176993415075,1.0,-0.5,0.0,0.0,1.0,1.0,0.0
City,3D Printing,Beijing,0,0.575,1.3219280948873626,-0.5,-0.25,0.0,1.5,1.5,0.0
City,3D Printing,Birmingham,0,0.57312676233744,0.5849625007211564,0.25,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Mapo,0,0.57312676233744,0.5849625007211564,0.25,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Miami,0,0.57312676233744,0.5849625007211564,0.25,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Oslo,0,0.57312676233744,0.5849625007211564,0.25,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Poznan,0,0.57312676233744,0.5849625007211564,0.25,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Prague,0,0.57312676233744,0.5849625007211564,0.25,0.0,0.0,0.5,0.5,0.0
City,3D Printing,San Jose,0,0.57312676233744,0.5849625007211564,0.25,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Sunnyvale,0,0.57312676233744,0.5849625007211564,0.25,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Milan,0,0.5724510326748408,1.0,0.5,-0.33333333333333337,0.0,1.0,1.0,0.0
City,3D Printing,Campbell,0,0.5666666666666667,0.0,1.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Coeur D'Alene,0,0.5666666666666667,0.0,1.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Concord,0,0.5666666666666667,0.0,1.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Durham,0,0.5666666666666667,0.0,1.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Erie,0,0.5666666666666667,0.0,1.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Lusby,0,0.5666666666666667,0.0,1.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Melbourne,0,0.5666666666666667,0.0,1.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,München,0,0.5666666666666667,0.0,1.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Rehovot,0,0.5666666666666667,0.0,1.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Rotterdam,0,0.5666666666666667,0.0,1.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Torrance,0,0.5666666666666667,0.0,1.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Ventura,0,0.5666666666666667,0.0,1.5,0.0,0.0,0.0,0.0,0.0
City,3D Printing,Los Angeles,0,0.5642857142857143,2.0000000000000004,-0.5,-0.2857142857142857,0.0,3.0,3.0,0.0
City,3D Printing,Boulder,0,0.5522934290041067,0.5849625007211564,0.0,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Dubai,0,0.5522934290041067,0.5849625007211564,0.0,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Santiago,0,0.5522934290041067,0.5849625007211564,0.0,0.0,0.0,0.5,0.5,0.0
City,3D Printing,St Louis,0,0.5522934290041067,0.5849625007211564,0.0,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Gothenburg,0,0.5314600956707733,0.5849625007211564,-0.25,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Haifa,0,0.5314600956707733,0.5849625007211564,-0.25,0.0,0.0,0.5,0.5,0.0
City,3D Printing,Istanbul,0,0.5314600956707733,0.5849625007211564,-0.25,0.0,0.0,0.5,0.5,0.0
